features,kernel,C,accuracy,precision,recall,f1,n_features
rbp,rbf,10.0,0.8113207547169812,0.7586206896551724,0.88,0.8148148148148148,95
rbp+scc,rbf,10.0,0.8113207547169812,0.7586206896551724,0.88,0.8148148148148148,190
rbp+scc+plv_band,linear,1.0,0.7924528301886793,0.75,0.84,0.7924528301886793,285
rbp+scc+plv,rbf,10.0,0.7924528301886793,0.7692307692307693,0.8,0.7843137254901961,209
rbp+scc+plv,linear,0.1,0.7924528301886793,0.7692307692307693,0.8,0.7843137254901961,209
rbp+scc+hjorth+plv_band,linear,0.1,0.7735849056603774,0.7241379310344828,0.84,0.7777777777777777,342
rbp+scc+plv,linear,1.0,0.7735849056603774,0.7407407407407407,0.8,0.7692307692307692,209
rbp+scc+plv_band,rbf,10.0,0.7735849056603774,0.7407407407407407,0.8,0.7692307692307692,285
rbp+scc,rbf,100.0,0.7735849056603774,0.7407407407407407,0.8,0.7692307692307692,190
rbp,linear,1.0,0.7735849056603774,0.7407407407407407,0.8,0.7692307692307692,95
rbp,rbf,100.0,0.7735849056603774,0.7407407407407407,0.8,0.7692307692307692,95
rbp+scc,linear,1.0,0.7735849056603774,0.7407407407407407,0.8,0.7692307692307692,190
rbp+scc,rbf,1.0,0.7547169811320755,0.7,0.84,0.7636363636363636,190
rbp,rbf,1.0,0.7547169811320755,0.7,0.84,0.7636363636363636,95
rbp+scc+hjorth,rbf,100.0,0.7735849056603774,0.76,0.76,0.76,247
rbp+scc+plv,rbf,100.0,0.7735849056603774,0.76,0.76,0.76,209
rbp+scc+hjorth,rbf,1.0,0.7547169811320755,0.7142857142857143,0.8,0.7547169811320756,247
rbp+scc+hjorth+plv_band,linear,1.0,0.7547169811320755,0.7142857142857143,0.8,0.7547169811320756,342
rbp+scc+plv_band,linear,0.1,0.7547169811320755,0.7142857142857143,0.8,0.7547169811320756,285
rbp+scc,linear,10.0,0.7735849056603774,0.782608695652174,0.72,0.7499999999999999,190
rbp+scc+hjorth+plv_band,rbf,1.0,0.7735849056603774,0.782608695652174,0.72,0.7499999999999999,342
rbp,linear,10.0,0.7735849056603774,0.782608695652174,0.72,0.7499999999999999,95
rbp+scc+hjorth,rbf,10.0,0.7547169811320755,0.7307692307692307,0.76,0.7450980392156863,247
rbp+scc+entropy,rbf,10.0,0.7547169811320755,0.7307692307692307,0.76,0.7450980392156863,209
rbp+scc,linear,0.1,0.7358490566037735,0.6896551724137931,0.8,0.7407407407407408,190
rbp+scc+entropy,rbf,1.0,0.7358490566037735,0.6896551724137931,0.8,0.7407407407407408,209
rbp,linear,0.1,0.7358490566037735,0.6896551724137931,0.8,0.7407407407407408,95
rbp+scc+plv,rbf,1.0,0.7358490566037735,0.6896551724137931,0.8,0.7407407407407408,209
rbp+scc+plv_band,rbf,1.0,0.7735849056603774,0.8095238095238095,0.68,0.7391304347826089,285
rbp+scc+hjorth+entropy,rbf,100.0,0.7547169811320755,0.75,0.72,0.7346938775510204,266
rbp+scc+hjorth+entropy+plv_band,rbf,1.0,0.7358490566037735,0.7037037037037037,0.76,0.7307692307692308,361
rbp+scc+hjorth+entropy,rbf,1.0,0.7358490566037735,0.7037037037037037,0.76,0.7307692307692308,266
rbp+scc+hjorth+entropy,rbf,10.0,0.7358490566037735,0.7037037037037037,0.76,0.7307692307692308,266
rbp+scc+hjorth+plv_band,rbf,10.0,0.7358490566037735,0.7037037037037037,0.76,0.7307692307692308,342
rbp+scc+plv_band,linear,10.0,0.7169811320754716,0.6666666666666666,0.8,0.7272727272727272,285
rbp+scc+hjorth,linear,1.0,0.7358490566037735,0.72,0.72,0.72,247
rbp+scc+hjorth+entropy+plv_band,linear,1.0,0.7358490566037735,0.72,0.72,0.72,361
rbp+scc+hjorth,linear,0.1,0.7169811320754716,0.6785714285714286,0.76,0.7169811320754718,247
rbp+scc+entropy,linear,0.1,0.7169811320754716,0.6923076923076923,0.72,0.7058823529411765,209
rbp+scc+plv_band,rbf,0.1,0.6792452830188679,0.625,0.8,0.7017543859649122,285
rbp+scc,rbf,0.1,0.660377358490566,0.6,0.84,0.7000000000000001,190
rbp+scc+hjorth,rbf,0.1,0.660377358490566,0.6,0.84,0.7000000000000001,247
rbp+scc+entropy,rbf,0.1,0.660377358490566,0.6,0.84,0.7000000000000001,209
rbp,rbf,0.1,0.660377358490566,0.6,0.84,0.7000000000000001,95
rbp+scc+hjorth+entropy,linear,1.0,0.7358490566037735,0.7619047619047619,0.64,0.6956521739130435,266
rbp+scc+entropy,rbf,100.0,0.7358490566037735,0.7619047619047619,0.64,0.6956521739130435,209
rbp+scc+plv,linear,10.0,0.7169811320754716,0.7083333333333334,0.68,0.6938775510204083,209
rbp+scc+plv_band,rbf,100.0,0.7169811320754716,0.7083333333333334,0.68,0.6938775510204083,285
rbp+scc+hjorth+plv_band,rbf,100.0,0.7169811320754716,0.7083333333333334,0.68,0.6938775510204083,342
rbp+scc+hjorth+entropy+plv_band,rbf,100.0,0.7169811320754716,0.7272727272727273,0.64,0.6808510638297872,361
rbp+scc+hjorth+entropy+plv_band,linear,0.1,0.6981132075471698,0.68,0.68,0.68,361
rbp+scc+hjorth+entropy+plv_band,rbf,10.0,0.6981132075471698,0.6956521739130435,0.64,0.6666666666666666,361
rbp+scc+hjorth+plv_band,rbf,0.1,0.6415094339622641,0.59375,0.76,0.6666666666666666,342
rbp+scc+hjorth+entropy+plv_band,linear,10.0,0.660377358490566,0.6206896551724138,0.72,0.6666666666666666,361
rbp+scc+hjorth+entropy,linear,0.1,0.6981132075471698,0.6956521739130435,0.64,0.6666666666666666,266
rbp+scc+hjorth+entropy,rbf,0.1,0.6415094339622641,0.59375,0.76,0.6666666666666666,266
rbp+scc+entropy,linear,1.0,0.7169811320754716,0.75,0.6,0.6666666666666665,209
rbp+scc+hjorth+plv_band,linear,10.0,0.660377358490566,0.6296296296296297,0.68,0.6538461538461539,342
rbp+scc+hjorth,linear,10.0,0.6792452830188679,0.6666666666666666,0.64,0.6530612244897959,247
rbp+scc+hjorth+entropy+plv_band,rbf,0.1,0.6415094339622641,0.6071428571428571,0.68,0.6415094339622641,361
rbp+scc+plv,rbf,0.1,0.660377358490566,0.64,0.64,0.64,209
rbp+scc+hjorth+entropy,linear,10.0,0.6415094339622641,0.6153846153846154,0.64,0.6274509803921569,266
rbp+scc+entropy,linear,10.0,0.6415094339622641,0.625,0.6,0.6122448979591836,209
scc,linear,10.0,0.6226415094339622,0.6190476190476191,0.52,0.5652173913043478,95
scc,rbf,10.0,0.6226415094339622,0.6190476190476191,0.52,0.5652173913043478,95
scc,linear,1.0,0.3584905660377358,0.36363636363636365,0.48,0.41379310344827586,95
scc,rbf,100.0,0.3584905660377358,0.36363636363636365,0.48,0.41379310344827586,95
scc,rbf,1.0,0.3584905660377358,0.36363636363636365,0.48,0.41379310344827586,95
scc,linear,0.1,0.5471698113207547,0.5454545454545454,0.24,0.3333333333333333,95
scc,rbf,0.1,0.5471698113207547,0.5454545454545454,0.24,0.3333333333333333,95
